epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,6185.81,0.78035,0.45969,1.0842,0.91378,0.86467,0.94414,0.70717,0.92245,0.47622,1.1338,0.000215781,0.000215781,0.000215781
111,6241.94,0.78046,0.45896,1.08005,0.88564,0.87694,0.89419,0.69569,0.92045,0.46964,1.11592,0.000210706,0.000210706,0.000210706
112,6297.14,0.77656,0.45555,1.07906,0.84039,0.92344,0.94716,0.7002,0.92262,0.47891,1.11285,0.000205631,0.000205631,0.000205631
113,6352.57,0.77304,0.45318,1.07677,0.84448,0.92363,0.87421,0.66783,0.92008,0.47024,1.11526,0.000200555,0.000200555,0.000200555
114,6408.16,0.76575,0.44956,1.0696,0.88993,0.85482,0.947,0.71009,0.91847,0.47804,1.11732,0.00019548,0.00019548,0.00019548
115,6463.81,0.76844,0.4503,1.06718,0.84175,0.92005,0.94824,0.6924,0.91731,0.47245,1.10491,0.000190404,0.000190404,0.000190404
116,6518.94,0.76579,0.44887,1.06939,0.9369,0.86418,0.94897,0.69977,0.921,0.47562,1.1134,0.000185329,0.000185329,0.000185329
117,6574.05,0.76727,0.45197,1.07356,0.92597,0.89021,0.94704,0.735,0.91552,0.47298,1.10911,0.000180254,0.000180254,0.000180254
118,6629.42,0.76379,0.44366,1.06357,0.91181,0.89351,0.94816,0.71336,0.91909,0.4705,1.10901,0.000175178,0.000175178,0.000175178
119,6684.86,0.75615,0.44189,1.06015,0.8739,0.87022,0.89458,0.68919,0.91163,0.46512,1.10924,0.000170103,0.000170103,0.000170103
120,6739.96,0.7521,0.43897,1.06126,0.84353,0.91846,0.89435,0.68634,0.91691,0.47511,1.1217,0.000165027,0.000165027,0.000165027
121,6795.79,0.75904,0.44128,1.06342,0.84656,0.90525,0.87341,0.66786,0.92428,0.47943,1.11952,0.000159952,0.000159952,0.000159952
122,6852.51,0.75401,0.43968,1.06255,0.84252,0.92593,0.87359,0.68125,0.91284,0.47094,1.107,0.000154877,0.000154877,0.000154877
123,6908.32,0.75133,0.43752,1.06387,0.84089,0.9175,0.85819,0.65587,0.9201,0.47568,1.10886,0.000149801,0.000149801,0.000149801
124,6963.73,0.74319,0.43294,1.05951,0.83128,0.9294,0.86294,0.66221,0.91425,0.47495,1.11575,0.000144726,0.000144726,0.000144726
125,7019.05,0.74985,0.43372,1.05991,0.8346,0.92819,0.86499,0.66722,0.91711,0.47503,1.11556,0.00013965,0.00013965,0.00013965
126,7074.95,0.74276,0.43374,1.05575,0.80734,0.9375,0.8644,0.66737,0.91798,0.4706,1.11324,0.000134575,0.000134575,0.000134575
127,7129.84,0.73851,0.43171,1.05497,0.82765,0.92542,0.86219,0.65031,0.92618,0.48116,1.11117,0.0001295,0.0001295,0.0001295
128,7185.17,0.73921,0.42711,1.04923,0.83154,0.9188,0.86337,0.66708,0.92149,0.47743,1.10527,0.000124424,0.000124424,0.000124424
129,7240.45,0.73432,0.43069,1.05274,0.84141,0.91017,0.86185,0.66948,0.91865,0.47592,1.1084,0.000119349,0.000119349,0.000119349
130,7296.37,0.73629,0.42866,1.05128,0.83783,0.91559,0.88973,0.66381,0.92322,0.477,1.11292,0.000114273,0.000114273,0.000114273
131,7352.68,0.73083,0.42491,1.05269,0.88163,0.86976,0.89183,0.66229,0.91964,0.47607,1.12047,0.000109198,0.000109198,0.000109198
132,7409.19,0.72691,0.42213,1.04699,0.84455,0.91255,0.94486,0.67719,0.92402,0.4779,1.10516,0.000104123,0.000104123,0.000104123
133,7465.11,0.7273,0.42424,1.04733,0.84095,0.91758,0.87034,0.65743,0.92632,0.4807,1.11288,9.90472e-05,9.90472e-05,9.90472e-05
134,7520.04,0.73037,0.42322,1.05026,0.8367,0.92404,0.94716,0.73443,0.92404,0.47756,1.11454,9.39718e-05,9.39718e-05,9.39718e-05
135,7574.85,0.72492,0.41933,1.04716,0.8916,0.86682,0.94598,0.73503,0.92014,0.4774,1.11437,8.88964e-05,8.88964e-05,8.88964e-05
136,7630.26,0.72339,0.42103,1.04483,0.89496,0.86884,0.94451,0.72328,0.92233,0.47724,1.1159,8.3821e-05,8.3821e-05,8.3821e-05
137,7686.58,0.72256,0.41992,1.04769,0.92372,0.85062,0.94412,0.73165,0.92629,0.48028,1.12129,7.87456e-05,7.87456e-05,7.87456e-05
138,7741.57,0.71613,0.41695,1.04231,0.89754,0.85597,0.94334,0.73221,0.92184,0.47744,1.12756,7.36702e-05,7.36702e-05,7.36702e-05
139,7796.93,0.71593,0.4142,1.04202,0.88356,0.87256,0.94516,0.73485,0.91893,0.47789,1.12414,6.85948e-05,6.85948e-05,6.85948e-05
140,7852.1,0.71575,0.41656,1.0423,0.90207,0.86547,0.94499,0.73291,0.92419,0.47912,1.12825,6.35194e-05,6.35194e-05,6.35194e-05
141,7907.49,0.65318,0.31748,0.9993,0.92318,0.85971,0.94428,0.73065,0.92117,0.4801,1.12984,5.8444e-05,5.8444e-05,5.8444e-05
142,7960.93,0.63103,0.30231,0.98356,0.92432,0.8588,0.94588,0.73107,0.92455,0.48302,1.1337,5.33686e-05,5.33686e-05,5.33686e-05
143,8014.12,0.6261,0.29847,0.98083,0.88269,0.87902,0.94547,0.73146,0.92492,0.48209,1.12868,4.82932e-05,4.82932e-05,4.82932e-05
144,8067.65,0.61628,0.29215,0.97293,0.87796,0.88283,0.94629,0.73333,0.92868,0.48278,1.12393,4.32178e-05,4.32178e-05,4.32178e-05
145,8121.55,0.6189,0.29832,0.97725,0.85608,0.90683,0.9446,0.73354,0.92686,0.48258,1.12502,3.81424e-05,3.81424e-05,3.81424e-05
146,8175.47,0.61108,0.29199,0.97526,0.84642,0.91216,0.94498,0.73355,0.92809,0.48092,1.12622,3.3067e-05,3.3067e-05,3.3067e-05
147,8228.96,0.607,0.2907,0.97219,0.84803,0.90977,0.94562,0.73417,0.92549,0.48119,1.12456,2.79916e-05,2.79916e-05,2.79916e-05
148,8282.74,0.60877,0.29104,0.97183,0.84713,0.91221,0.94602,0.73416,0.92705,0.48131,1.1277,2.29162e-05,2.29162e-05,2.29162e-05
149,8337.16,0.60895,0.29174,0.97392,0.84518,0.91823,0.94546,0.73368,0.92726,0.48006,1.12882,1.78408e-05,1.78408e-05,1.78408e-05
150,8390.73,0.60318,0.28778,0.97247,0.84469,0.91757,0.94602,0.73442,0.92817,0.48184,1.12987,1.27654e-05,1.27654e-05,1.27654e-05
