epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,5664.2,0.82309,0.49217,1.10957,0.84395,0.89945,0.94836,0.69159,0.90556,0.4853,1.11131,0.000296988,0.000296988,0.000296988
95,5723.95,0.81776,0.48783,1.10474,0.86816,0.90439,0.94828,0.71387,0.91019,0.48119,1.09935,0.000291912,0.000291912,0.000291912
96,5783.69,0.81005,0.48893,1.09986,0.8747,0.89209,0.89066,0.66817,0.91205,0.48017,1.10912,0.000286837,0.000286837,0.000286837
97,5843.22,0.8116,0.4832,1.09988,0.83539,0.92154,0.89439,0.68533,0.92581,0.47562,1.13485,0.000281762,0.000281762,0.000281762
98,5903.31,0.8084,0.48102,1.09955,0.87067,0.88972,0.89008,0.67488,0.91404,0.48104,1.1176,0.000276686,0.000276686,0.000276686
99,5962.45,0.81022,0.4823,1.10139,0.85206,0.9159,0.89612,0.68898,0.92611,0.47908,1.13226,0.000271611,0.000271611,0.000271611
100,6022.87,0.80788,0.48756,1.10027,0.84611,0.92181,0.9494,0.72729,0.92675,0.47902,1.14631,0.000266535,0.000266535,0.000266535
101,6082.76,0.80298,0.4771,1.09979,0.81016,0.93852,0.85653,0.65894,0.92246,0.47772,1.13433,0.00026146,0.00026146,0.00026146
102,6143.23,0.80355,0.47882,1.09737,0.87467,0.88349,0.94701,0.72268,0.90533,0.47674,1.10962,0.000256385,0.000256385,0.000256385
103,6204.49,0.80457,0.47584,1.08864,0.91229,0.86081,0.94628,0.72879,0.91705,0.4771,1.11051,0.000251309,0.000251309,0.000251309
104,6264.56,0.79239,0.4745,1.08874,0.8452,0.91465,0.94425,0.7153,0.92023,0.47962,1.12733,0.000246234,0.000246234,0.000246234
105,6324.62,0.79126,0.46856,1.08409,0.85713,0.9015,0.94746,0.73557,0.90917,0.47299,1.10935,0.000241158,0.000241158,0.000241158
106,6383.72,0.7944,0.47824,1.08531,0.86893,0.90472,0.9463,0.7122,0.91559,0.47709,1.11155,0.000236083,0.000236083,0.000236083
107,6443.98,0.78791,0.46553,1.08092,0.8787,0.88742,0.94683,0.7218,0.9101,0.47227,1.11485,0.000231008,0.000231008,0.000231008
108,6504.28,0.78364,0.46474,1.08058,0.8602,0.89071,0.8904,0.67951,0.91947,0.48408,1.12802,0.000225932,0.000225932,0.000225932
109,6564.06,0.78404,0.46423,1.08355,0.84659,0.90696,0.94652,0.72332,0.91368,0.47881,1.12898,0.000220857,0.000220857,0.000220857
110,6624.73,0.77816,0.4621,1.08304,0.85757,0.90602,0.94625,0.72827,0.91407,0.47517,1.12193,0.000215781,0.000215781,0.000215781
111,6684.87,0.77628,0.45729,1.07853,0.84829,0.89813,0.94556,0.72655,0.91582,0.47957,1.12277,0.000210706,0.000210706,0.000210706
112,6744.5,0.7827,0.46255,1.08886,0.84129,0.91259,0.87337,0.6727,0.91376,0.48002,1.12013,0.000205631,0.000205631,0.000205631
113,6804.66,0.77269,0.46099,1.07748,0.85369,0.90833,0.89219,0.68592,0.91566,0.47588,1.12528,0.000200555,0.000200555,0.000200555
114,6863.8,0.77805,0.46334,1.08302,0.86637,0.89492,0.94846,0.72213,0.91277,0.47898,1.12952,0.00019548,0.00019548,0.00019548
115,6923.78,0.76853,0.4525,1.07584,0.8631,0.89063,0.89209,0.68514,0.91398,0.47998,1.11755,0.000190404,0.000190404,0.000190404
116,6982.94,0.76557,0.45062,1.07126,0.85115,0.9032,0.8638,0.65932,0.91949,0.47829,1.12544,0.000185329,0.000185329,0.000185329
117,7042.59,0.7635,0.44684,1.07343,0.8533,0.9051,0.89119,0.67957,0.91959,0.48122,1.1211,0.000180254,0.000180254,0.000180254
118,7102.76,0.76701,0.45099,1.07921,0.90501,0.83454,0.94849,0.72478,0.91909,0.47658,1.12211,0.000175178,0.000175178,0.000175178
119,7162.36,0.76465,0.45248,1.07052,0.90765,0.84336,0.94816,0.70086,0.92583,0.47587,1.11576,0.000170103,0.000170103,0.000170103
